文档,摘要,模型预测摘要
欧足联主席普拉蒂尼表示：“我不会给金球奖投票，但原则上，在世界杯年金球奖应该是给赢得世界杯冠军的球队中表现最出色的球员，所以这次金球奖应该给德国人。不过一切都不确定，梅西在10年世界杯表现得不好，但也拿到了金球奖。,普 拉 蒂 尼 : 金 球 奖 应 给 德 国 球 员,梅 西 获 金 球 奖 奖 金 表 现 金 金
大会主席团常务主席主持会议听取政府工作报告及计划、财政报告1月8日上午，河南省第十一届人民代表大会第五次会议在省人民会堂隆重开幕。来自全省各地的省人大代表会聚一堂，共商中原经济区发展大计，谋划中原崛起河南振兴美好未来。,省 十 一 届 人 大 五 次 会 议 隆 重 开 幕,河 南 省 人 大 代 表 团 原 主 席
曼联主帅范加尔表示，不会根据名气来挑选球员，每个人都必须用表现征服自己，“任何人都要努力争取自己的位置，你要通过训练场上的出色表现去争取，这一点每一名球员都知道。我对自己目前所使用的球员非常尊敬，我对这些球员也很有信心。,范 加 尔 ： 曼 联 人 人 都 需 要 竞 争 上 岗,范 加 尔 ： 我 们 要 尊 重 努 力
格策在接受《图片报》采访时表示，如果自己的前多特队友罗伊斯加盟拜仁，那他会感到非常高兴，“我跟马尔科的关系真的很好，这得他来决定，他必须清楚自己想要什么，但如果他能来的话我会非常开心。,格 策 ： 罗 伊 斯 若 来 拜 仁 我 会 非 常 高 兴,罗 马 ： 我 想 要 想 什 么 会 开 心
安切洛蒂对《太阳报》说道：“杰拉德是一个领袖，他是我曾经希望执教的球员之一，执教米兰的时候我曾有很多次想过签下他，我想让他跟皮尔洛搭档，我们曾试探过他的意向，但杰拉德跟利物浦的感情是不可动摇的。,安 切 洛 蒂 ： 曾 想 为 米 兰 签 杰 拉 德 搭 档 皮 尔 洛,皮 洛 蒂 ： 曾 想 过 皮 与 洛 阳 的 执 教
13名中国船员惨死湄公河金三角水域事件已过去3个月。据报道，目前该案正处于审理关键阶段，泰国副总理差林表示，嫌疑人虽然否认指控，但泰警方已掌握充分证据，泰国部分军人涉嫌此案。,泰 国 副 总 理 : 已 获 本 国 军 人 杀 害 中 国 船 员 充 分 证 据,湄 公 河 惨 案 嫌 疑 人 被 控 制 证 据
日前，卫生部起草的《医疗机构从业人员行为规范向全社会征求意见。卫生部将把行为规范实施情况与各项考核评比挂钩，违规者将按照相关法律法规、党纪条规给予处罚处分。医生不能参与医药企业提供的各类娱乐活动。,我 国 拟 规 定 医 生 不 能 参 与 药 企 所 提 供 娱 乐 活 动,卫 生 部 拟 规 范 医 生 违 规 行 为
明天，46年来最早的春运将正式启动，根据铁路部门安排，2012年春运从1月8日拉开帷幕，2月16日结束，持续40天。由于2012年春节较2011年春节提前11天，学生流与农民工、商务、探亲流相互交织，客流将迅猛增长。,4 6 年 来 最 早 春 运 明 天 启 动 医 务 人 员 首 进 驻 火 车 站,春 运 天 然 气 流 天 运 动 启 动
叶冬松：把河南建设成为全球华人根亲文化圣地1月6日15时，河南省政协十届五次会议在郑州召开。省政协主席叶冬松在工作报告中指出，要全面领会努力把河南建设成为全球华人根亲文化圣地的目标定位，推动文化改革创新、做好华夏历史文明传承创新。,2 0 1 2 河 南 两 会,全 球 化 建 设 的 五 个 创 新
记者5日从负责泰国北部和东北部湄公河水上治安的水警第十一警区得到消息，4日湄公河缅甸境内发生袭击船只事件。记者进一步与有关方面核实，得知缅甸万崩码头附近被袭船只共5艘，包括1艘缅甸巡逻船和4艘中国货船。,中 国 货 船 和 缅 甸 巡 逻 艇 在 湄 公 河 遭 火 箭 弹 袭 击,缅 甸 国 内 船 只 只 剩 十 只 船
昨天，央行发布《支付机构互联网支付业务管理办法（征求意见稿）》，拟要求互联网支付账户的开立需要实行实名制。央行还规定“不得利用信用卡透支为支付账户充值”。此次征求意见1月13日截止。,央 行 拟 要 求 互 联 网 支 付 账 户 实 名 叫 停 信 用 卡 充 值,互 联 网 立 法 规 则 不 实 行
商务部日前发布《未依法申报经营者集中调查处理暂行办法》，明确规定，对未依法申报而实施集中的经营者，商务部可以处50万元以下的罚款，并可责令被调查的经营者采取措施恢复到集中前的状态。,商 务 部 日 前 发 布 规 定 ： 违 法 集 中 经 营 最 高 罚 5 0 万,商 务 部 ： 未 来 5 0 万 人 被 罚
卫生部部长陈竺昨日在2012年全国卫生工作会议上，为取消“以药补医”列出时间表：今年先行在300个县试点推开，力争2013年在县级医院普遍推行，2015年在所有公立医院全面推开。,卫 生 部 长 批 以 药 补 医 是 毒 瘤 3 0 0 县 今 年 试 点 取 消,全 国 推 行 立 医 药 卫 生 力 推 行
圆满完成各项议程后，省十一届人大常委会第二十五次会议昨日在郑州闭幕。确定省十一届人大五次会议建议议程，会议通过了《河南省建设中原经济区纲要（草案）》，通过了人事任免事项。,省 十 一 届 人 大 常 委 会 第 二 十 五 次 会 议 闭 幕,河 南 省 会 省 会 闭 幕
圆满完成各项议程后，省十一届人大常委会第二十五次会议昨日在郑州闭幕。确定省十一届人大五次会议建议议程，会议通过了《河南省建设中原经济区纲要（草案）》，通过了人事任免事项。,省 十 一 届 人 大 常 委 会 第 二 十 五 次 会 议 闭 幕,河 南 省 会 通 过 河 南 省 十 项 经 济 会 议
据《镜报》报道，利物浦计划为提供续约合同，续约之后，这位英格兰国脚的周薪将涨至10万英镑，续约5年。利物浦某消息人士称：“跟拉希姆的续约谈判进展顺利，我们不急，但也不想一直拖下去。”此前有消息称，皇马希望在明年夏天签下斯特林…,镜 报 ： 红 军 将 1 0 万 周 薪 续 约 斯 特 林,英 国 续 约 谈 约 利 续 约 续 约
据《每日邮报》报道，拜仁主帅瓜迪奥拉的密友、马洛卡主帅米克尔-索勒透露，瓜迪奥拉未来会离开拜仁赴英超执教，“我觉得在拜仁，故事的结局会跟当初在巴萨一样。他会在三四年之后感到精疲力尽，他会再选择休整一段时间，然后去英超执教。,密 友 称 瓜 迪 奥 拉 下 一 站 英 超,拜 仁 未 来 将 休 拉 瓜 帅
“如果没有中原文化，我们都会失去回家的路，我们的灵魂将无所皈依。中原，是中国人的精神家园，是中华之源、中国之源……”中国文化产业创新与发展研究基地办公室主任、上海交通大学教授胡惠林这样说。,赴 豫 8 0 多 次 上 海 教 授 ： 中 原 是 中 国 人 的 精 神 家 园,中 国 文 化 产 业 化 发 展 新 路
针对切尔西能否像2003-04赛季的阿森纳不败夺冠的说法，蓝军主帅穆里尼奥表示那是不可能的事情，“我觉得这不可能，这不是我们的目标，这也不可能，现在的足球已经改变了很多，10年前可能的事情现在将不再可能。,穆 帅 ： 不 可 能 如 枪 手 不 败 夺 冠 十 年 已 改 变 太 多,阿 森 纳 或 将 可 能 不 能 再 续 约
1996年11月15日，汤阴法院成立了全国首个“维护军人军属合法权益巡回法庭”，开了以司法形式拥军优属的先河。15年来，它在中原大地生根开花，如今在全省法院已经形成了以“三个一”为主体的工作模式，构筑了一张涉军维权的服务网络。,全 省 法 院 推 广 涉 军 维 权 “ 汤 阴 经 验 ”,“ 全 军 首 个 巡 回 法 庭 ”
6-0大胜云达不莱梅后，拜仁主帅瓜迪奥拉开玩笑称，他原本希望看到本场梅开二度的拉姆上演帽子戏法，“必须承认，我对菲利普有些失望，我原本希望他戴帽的……当然，我为菲利普感到高兴，能够成为他的主帅我感到很骄傲。,瓜 帅 笑 称 ： 对 拉 姆 失 望 本 希 望 他 戴 帽,瓜 帅 ： 我 们 是 我 的 梦
正当欧洲多支球队对赫迪拉表示出兴趣之际，皇马已准备为这位德国中场提供新的续约合同，安切洛蒂说：“我们依然有机会在明年6月份之前跟他续约，我想俱乐部希望跟他续约，如果他不想的话，那他会留在球队直至本赛季结束。,安 切 洛 蒂 ： 皇 马 想 跟 赫 迪 拉 续 约,皇 马 与 希 拉 德 约 谈 留 在 皇 马
昨天，民政部出台并公布《关于促进农民工融入城市社区的意见》这也是中央有关部门就农民工融入社区问题下发的第一个专门性政策文件。农民工将能在固定居住一年以上的社区，参加本社区的居委会选举，社区发展应听农民工意见。,农 民 工 融 入 社 区 规 划 出 台 住 满 一 年 可 参 选 居 委 会,社 区 政 策 工 作 社 区 将 发 文
昨日国家发改委、教育部、财政部联合印发《幼儿园收费管理暂行办法》，严禁幼儿园以任何名义向入园幼儿家长收取赞助费、捐资助学费、教育成本补偿费等与入园挂钩的费用。对于违反规定的幼儿园，政府将不再核发收费许可证。,发 改 委 印 发 幼 儿 园 收 费 办 法 将 禁 收 赞 助 费 建 校 费,幼 儿 园 收 费 禁 止 收 费 违 规
记者于5日凌晨从贵州省贵定县县委宣传部获悉，4日18时30分，兰海高速1765km+500处发生一起交通事故，目前救援工作已结束。至记者发稿时，事故造成15人当场死亡，1人经送医院抢救无效死亡，另有40人受伤，其中5人重伤。,贵 州 兰 海 高 速 交 通 事 故 救 援 结 束 事 故 致 1 6 亡 4 0 伤,贵 州 一 高 速 发 生 交 通 事 故 致 1 死 1 伤
基耶利尼近日接受了《米兰体育报》的长篇采访，“在孩童时代我是米兰的球迷。我曾拥有红黑军团的背包和笔记本，多年以来我一直梦想得到一件马尔蒂尼的球衣，有一天我终于在圣西罗如愿。但很遗憾的是，那天我们输了个0-6，我还进了一粒乌龙球。,基 耶 利 尼 ： 我 曾 是 米 兰 球 迷,米 兰 球 迷 ： 我 的 球 迷
切尔西2-1击败水晶宫，赛后法布雷加斯接受了天空体育的采访，当被问及切尔西是否可以跟自己的前东家阿森纳一样保持赛季不败时，小法说道：“不，不，这是个笑话。只有一支球队能做到那点，2003年的无敌舰队阿森纳。,小 法 ： 拿 蓝 军 跟 “ 无 敌 阿 森 纳 ” 相 比 是 笑 话,阿 森 纳 ： 切 尔 西 的 小 法 队
从今年元旦起，各大卫视都遵守了广电总局下发的“限广令”，在每集电视剧中间真的不插播广告了，让观众告别了“电视广告插播电视剧”的年代。当晚，就有网友在微博上留言，“现在终于是在看电视剧，而不是看广告啦！J7,“ 限 广 令 ” 新 年 生 效 观 众 称 广 告 插 播 消 失 很 过 瘾,电 视 剧 插 播 剧 播 电 视 剧 播
公民领取身份证应录入指纹信息、行政机关不得在夜间或者法定节假日实施行政强制执行，今年1月1日，备受关注的新《居民身份证法》、《行政强制法》、《车船税法实施条例》等法律法规开始施行，多项新规定与公民生活息息相关。,多 部 法 律 法 规 1 月 1 日 起 施 行,新 规 录 取 新 规 ： 多 项 行 政 执 法
如果您是进城务工人员，因为工资纠纷已起诉到法院，截至目前还没有拿到工资，如有需要咨询的，请登录“豫法阳光调解室”说出您的要求和苦衷。本次调解时间为2012年1月4日19点至21点，欢迎进城务工的朋友积极参加。,“ 豫 法 阳 光 ” 帮 助 进 城 务 工 人 员 高 高 兴 兴 回 家 过 年,解 密 工 资 调 查 ： 城 市 工 作 室
国家工商总局市场规范管理司日前组织召开电子商务网站负责人座谈会，明确要求各网站加强网络经营管理，对不具备入市条件，虚假注册、有重大违法行为、严重失信的经营主体采取相应手段强制退市，并限制其再入市。,网 店 严 重 失 信 将 被 退 市,工 商 总 局 ： 网 站 退 市 制 度 不 要 求 加 强 市 场
近日，山西省长治市对人社局公务员考录违规问题调查结束，考生宋江明在参加长治市环保局公务员录用考试过程中，长治市人力资源和社会保障局副局长赵波等人存在严重违纪违法问题，长治市委等部门对涉案人员分别作出严肃处理。,公 考 状 元 体 检 被 刷 事 件 : 人 社 局 副 局 长 被 捕,严 查 违 纪 违 规 严 处 处 理 问 题
住房和城乡建设部相关负责人30日接受中国政府网在线访谈时表示，政府要消除非户籍人员购买当地商品房制度性障碍，营造比较好的市场环境。同时表示允许利用集体用地建设公租房，不意味着小产权房将慢慢合法化。,住 建 部 : 将 消 除 非 户 籍 人 员 购 当 地 商 品 房 制 度 障 碍,住 建 部 : 非 公 租 房 租 赁 障 碍 合 同
天津海事法院已于３０日受理“蓬莱１９－３油田”溢油事故引发的养殖户损害赔偿纠纷案件。据悉，受理的案件是一起２９名养殖户诉康菲石油中国有限公司、中国海洋石油总公司损害赔偿案。,天 津 海 事 法 院 昨 天 正 式 受 理 “ 康 菲 溢 油 ” 案,渤 海 油 田 案 受 害 者 赔 偿
据中国之声《新闻和报纸摘要》报道，财政部会同国家发改委发出通知，决定明年2月1日起，取消各省、自治区、直辖市设立的涉及企业的行政事业性收费253项，每年可减轻企业负担上百亿元。,中 国 取 消 2 5 3 项 行 政 事 业 性 收 费 企 业 年 减 负 百 亿,梁 立 明 ： 取 消 负 责 人 政 府 负 责
昨天河南省高级人民法院在开封召开“包公司法文化”研讨会。张立勇院长说，包公文化内涵十分丰富，涵盖很多方面，从某种意义上是一个宝库。我们也应该理所当然的把这样一张历史名片，旗帜树立起来，加以弘扬，教育我们的法官清正廉洁。,河 南 高 院 召 开 “ 包 公 司 法 文 化 ” 研 讨 会,张 文 丰 包 包 库 包
新华网北京１２月３０日电（记者陈菲）２０１１年６月３０日，十一届全国人大常委会第二十一次会议审议通过《中华人民共和国行政强制法》，并于２０１２年１月１日起正式施行。”这部法律的出台意味着什么？J7,立 法 解 决 行 政 强 制 “ 滥 ” “ 乱 ” “ 软 ”,人 民 日 报 《 新 闻 》 人 民 日 报 评 论 员
切尔西主帅穆里尼奥在发布会上表示，主力前锋迭戈-科斯塔有可能因伤缺席周末的联赛。而据《每日邮报》透露，科斯塔由于大腿肌肉受伤，可能要缺阵长达三周，科斯塔在当地时间周一返回切尔西后，本周一直在接受治疗。,邮 报 ： 科 斯 塔 大 腿 肌 肉 受 伤 或 缺 阵 三 周,科 斯 塔 科 斯 塔 或 缺 阵 阵 容
2012年夏天，瓜迪奥拉离开巴萨，当他时给出的答案是过于疲劳。据为其撰写新书《佩普秘闻》的记者佩拉纳乌透露，瓜迪奥拉自称是无力再进行战术革新才离队的。但佩拉纳乌认为，瓜帅离队还与罗塞尔、部分巴萨球员直接有关。,瓜 帅 自 揭 离 开 巴 萨 真 因,罗 佩 帅 ： 离 开 瓜 帅
穆里尼奥在《每日电讯报》接受加里-内维尔采访时表示，他知道上赛季所有人都觉得利物浦是联赛最有希望夺冠的球队，直到做客安菲尔德一战，切尔西拒绝扮演“马戏团小丑”毁了红军的夺冠美梦。,穆 帅 ： 去 年 全 英 都 支 持 红 军 夺 冠 他 们 想 让 蓝 军 当 小 丑,希 望 夺 冠 ： 马 尔 红 军 夺 冠 军 演
罗马主帅鲁迪-加西亚表示，自己的球队强于尤文图斯，将夺得本赛季的意甲冠军，“我为我的队员们在与尤文比赛中的表现感到骄傲，这让我意识到我们要比尤文强大。我要明确说明的是：我们会赢得冠军，我们能够做到，因为我们要更强。,加 西 亚 ： 罗 马 今 年 将 夺 意 甲,尤 文 ： 我 们 要 比 赛 更 更 强
莫耶斯在接受采访时说道:“我已经准备好了重新拿起教鞭，现在我需要的是一个合适的机会，我必须确保这是一个我想要的。谈到范加尔时，莫耶斯说：“和我去年一样，范加尔遇到了同样困难，他需要给他机会。他会在曼联取得成功的。,莫 耶 斯 ： 准 备 好 重 新 执 教 范 加 尔 需 要 机 会,莫 耶 斯 ： 我 会 会 更 加 重 要
据天空体育报道，因为在训练中小腿受伤，利物浦前锋斯图里奇尚未复出便要再次缺阵两到四周。罗杰斯曾表示，斯图里奇有可能在本周末的联赛中复出，但周四在梅尔伍德训练时，斯图里奇伤到了自己的小腿，检查结果显示，他将缺阵两到四周。,又 伤 ！ 斯 图 里 奇 小 腿 受 伤 缺 阵 两 到 四 周,缺 阵 周 杰 斯 ： 缺 阵 缺 阵 缺 阵
本赛季西甲首回合国家德比将于10月26日在伯纳乌球场打响，据加泰罗尼亚媒体《每日体育报》最新消息，届时巴萨有可能会变阵4-4-2，解禁复出的苏亚雷斯与内马尔担任双前锋，梅西则肩负前腰之职。,传 国 家 德 比 巴 萨 将 变 阵 4 4 2,苏 亚 雷 斯 梅 西 前 锋 或 复 苏
托雷斯在接受《罗马体育报》采访是透露，“我和穆里尼奥没有矛盾，我们是互相尊重的关系。切尔西买了一名新前锋，所以我决定要离开。穆帅希望我留在伦敦，但是我的职业生涯需要新的挑战，我需要有一支球队保证我的首发位置。,托 雷 斯 ： 和 穆 帅 无 矛 盾 他 不 希 望 我 离 开,穆 帅 ： 我 们 要 尊 重 穆 帅
据天空体育报道，西班牙主帅博斯克确认将在2016年法国欧洲杯力争实现三连冠后离任，“我打算一直执教到2016年法国欧洲杯，然后离开。像我这种情况，足协会进行平稳过渡的，我的计划是不离开足球，也不会跟足协断绝联系。,西 班 牙 主 帅 博 斯 克 确 认 2 0 1 6 年 欧 洲 杯 后 离 任,博 斯 克 ： 足 球 将 离 开 欧 洲 杯
瓦茨克在接受TZ采访时表示，多特很难在财力方面跟欧洲顶级豪门相抗衡，“有一些球员愿意少拿20%的钱留在多特蒙德效力，但如果是少拿50%的话就不是这样了，正因为如此，皇马和拜仁才有了可乘之机。拜仁似乎想得到我们的所有球员…”,多 特 C E O ： 拜 仁 想 掏 空 我 们,欧 冠 ： 拜 仁 特 蒙 氏 多 少 钱 多
据《每日快报》报道，英超三强阿森纳、利物浦和热刺都在密切关注美因茨阵中的日本国脚冈崎慎司的动向。在新赛季代表美因茨出战的6场德甲联赛当中，冈崎慎司已经打进5球，其他战线也有3球入账。现年28岁的冈崎慎司身价约为800万英镑。,英 媒 ： 枪 手 红 军 热 刺 三 强 争 夺 冈 崎 慎 司,英 超 3 0 0 0 万 美 元 切 尔 伊 切
西班牙上周日击败卢森堡，主帅博斯克用德赫亚取代卡西首发，但卡西依然相信自己可以为国家队做出巨大贡献，“我不会一直不老，我也不会一直都保持一个顶尖水准，但就目前而言，我感觉很好，我相信我能够帮助自己的国家队晋级欧洲杯决赛圈。,卡 西 ： 我 能 助 西 班 牙 杀 进 欧 洲 杯,卢 西 克 ： 不 会 直 博 会 直 排 卢 直
苏亚雷斯在接受《马卡报》专访时说道：“咬人是因为我的求胜欲望过于强烈，有时候我会失去控制。”苏亚雷斯和佩佩谁更“凶残”？苏牙不愿回答这个问题：“球员们都不凶残，如果犯错的话，那就需要道歉。,苏 神 ： 咬 人 因 太 想 赢 球,苏 亚 雷 斯 ： 咬 伤 不 愿 意
天空体育报道，普拉蒂尼已经提议引入白牌惩罚规则，跟据该规则，过度抗议的球员将会被罚离场10分钟；此外他还建议将现有的替补名额由3个增加到5个，“中场休息可以做出两个换人调整，而在常规比赛时间里则保有目前的三个换人名额。,普 拉 蒂 尼 建 言 引 入 白 牌 规 则 换 人 名 额 增 至 5 个,中 场 将 离 场 球 场 规 则
拜仁主席鲁梅尼格：“罗伊斯的违约条款已经为人所熟知。要是一名德国国脚的合同中有违约条款，而他的合同又即将到期，那么拜仁有必要考虑签下他。当然，多特会努力和他续约，但不管怎样，只有球员才能决定他想要的是什么。,鲁 梅 尼 格 ： 拜 仁 有 必 要 考 虑 签 下 罗 伊 斯,罗 伊 斯 ： 拜 仁 球 迷 不 会 要
据《米兰体育报》报道，法乙俱乐部勒阿弗尔给阿德里亚诺发出了加盟邀请，勒阿弗尔主席马伊洛表示，“我们确实希望引进阿德里亚诺，我和他的经纪人已经谈过几次了，经纪人可以证实，阿德里亚诺即将来法国。,阿 德 将 重 返 欧 洲 ！ 法 乙 球 队 邀 请,阿 里 亚 诺 伊 尔 希 望 进 球
巴洛特利在接受Talksport.com的采访是说道：“杰拉德是一名了不起的球员，我认为他和皮尔洛是在同一级别，无论是大局观，还是技术，而且他还很有力量。斯蒂夫能做到任何事，未来很难再找到像他这样的球员。,巴 神 ： 杰 队 跟 皮 尔 洛 同 一 级 别,皮 特 洛 ： 巴 洛 特 利 特 别 为 他
有媒体披露皇马有意签下巴西21岁的中场新星卢卡斯-席尔瓦。日前，他接受了《马卡报》的电话采访，“我当然想为皇马踢球，这是一种荣耀。但是若要成为现实的话，首先两家俱乐部需要商谈。但是如果有皇马这样的俱乐部想要我，我不会拒绝。,巴 西 中 场 新 星 ： 我 不 会 拒 绝 皇 马 邀 请,皇 马 为 什 么 要 踢 球 ？
欧足联确认2015-16赛季开始将欧冠以及欧洲七大联赛的冠军球队直接作为欧冠分组抽签的种子队，对此温格表示，“在我看来，这不是什么大问题，这仅仅意味着一档球队并不一定是真正的超级强队了，对阵一档球队也不见得比对阵三档球队更加困难。,温 格 ： 欧 冠 分 档 改 革 没 什 么 影 响,超 级 杯 不 对 阵 ， 直 接 对 阵
拜仁主席鲁梅尼格在接受采访时说道：“我认为目前英超已经开始羡慕我们德甲了，虽然英超的收入更高，但他们在体育层面的吸引力已经开始不如德甲。我们要在本赛季就超越英超，成为欧洲第二联赛。,鲁 梅 尼 格 : 德 甲 即 将 超 越 英 超 盼 明 年 跃 升 欧 洲 第 二,英 超 超 越 鲁 尼 ： 已 成 欧 洲 第 二
曾在红黑军团跟巴洛特利做过队友的迈克尔-埃辛表示，巴洛特利会在利物浦有一个非常出色的未来，“马里奥是个好人，我相信他会拥有一个伟大的未来。他依然有需要提升的地方，但他具备成为一名顶尖球员所需要的全部素质。,埃 辛 ： 巴 神 定 能 在 利 物 浦 取 得 成 功,马 特 ： 未 来 一 个 会 有 个 人
前英格兰国脚罗德尼-马什表示，斯特林很快就将离开安菲尔德转投一支豪门球队，“我知道这么说可能会受到利物浦球迷的抨击，但我还是觉得斯特林会在两年之内离开利物浦，加盟一支真正的豪门球队。他可以成长为一名顶尖球员。,前 英 国 脚 ： 斯 特 林 两 年 内 定 离 红 军 加 盟 豪 门,英 格 兰 在 英 超 球 迷 离 开 门
据《罗马体育报》报道，米兰是对赫迪拉感兴趣的球队之一，但很难跟同样对德国人感兴趣的切尔西和阿森纳相竞争，据悉前米兰主帅安切洛蒂正努力说服赫迪拉拒绝来自英超球队的邀请，转而降薪以便完成同红黑军团的转会谈判。,意 媒 ： 安 切 洛 蒂 力 劝 赫 迪 拉 降 薪 入 米 兰,米 兰 ： 切 赫 转 会 会 成 为 转 会
